Timestamp,Sensor ID,Experiment ID,Vector,Construct overview,Fluorophore,induced by,Plant,Location,PlantID,Plant Age/Maturity,Fluorescence - Green,Fluorescence - Red,Temperature,Humidity,Plant Soil water,PAR/Light level
4/17/20 3:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,4.54E-05,,,,
4/17/2020 3:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,5.08E-05,,,,
4/17/20 3:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,5.68E-05,,,,
4/17/2020 3:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,6.35E-05,,,,
4/17/20 4:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,7.10E-05,,,,
4/17/2020 4:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,7.94E-05,,,,
4/17/20 4:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,8.87E-05,,,,
4/17/2020 4:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,9.92E-05,,,,
4/17/20 5:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000110969,,,,
4/17/2020 5:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000124086,,,,
4/17/20 5:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000138752,,,,
4/17/2020 5:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000155152,,,,
4/17/20 6:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00017349,,,,
4/17/2020 6:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000193995,,,,
4/17/20 6:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000216922,,,,
4/17/2020 6:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000242559,,,,
4/17/20 7:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000271225,,,,
4/17/2020 7:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000303278,,,,
4/17/20 7:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000339117,,,,
4/17/2020 7:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00037919,,,,
4/17/20 8:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000423996,,,,
4/17/2020 8:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000474094,,,,
4/17/20 8:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000530108,,,,
4/17/2020 8:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000592737,,,,
4/17/20 9:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000662759,,,,
4/17/2020 9:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000741048,,,,
4/17/20 9:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000828577,,,,
4/17/2020 9:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.000926435,,,,
4/17/20 10:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00103584,,,,
4/17/2020 10:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00115815,,,,
4/17/20 10:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00129488,,,,
4/17/2020 10:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00144773,,,,
4/17/20 11:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00161859,,,,
4/17/2020 11:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00180958,,,,
4/17/20 11:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00202306,,,,
4/17/2020 11:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00226167,,,,
4/17/20 12:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00252836,,,,
4/17/2020 12:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.0028264,,,,
4/17/20 12:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00315946,,,,
4/17/2020 12:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00353163,,,,
4/17/20 13:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00394747,,,,
4/17/2020 13:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00441205,,,,
4/17/20 13:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00493104,,,,
4/17/2020 13:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00551074,,,,
4/17/20 14:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00615817,,,,
4/17/2020 14:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00688113,,,,
4/17/20 14:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00768832,,,,
4/17/2020 14:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.00858937,,,,
4/17/20 15:00,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.009595,,,,
4/17/2020 15:15,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.0107171,,,,
4/17/20 15:30,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.0119688,,,,
4/17/2020 15:45,WE1,E001,V14,AtVSP1:TdTomato-HSP,Tdtomato,insect,Tomato M82,Greenhouse,1,,,0.0133648,,,,
